name_id,year,rank,name,artist,url,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_1,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_2,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_3,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_4,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_5,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_6,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_7,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_8,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_9,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_0,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_1,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_2,h_a_r_m_o_n_i_c___r_m_s_e___m_e_a_n___0_1,m_f_c_c___m_e_a_n___0_1,m_f_c_c___m_e_a_n___0_2,m_f_c_c___m_e_a_n___0_3,m_f_c_c___m_e_a_n___0_4,m_f_c_c___m_e_a_n___0_5,m_f_c_c___m_e_a_n___0_6,m_f_c_c___m_e_a_n___0_7,m_f_c_c___m_e_a_n___0_8,m_f_c_c___m_e_a_n___0_9,m_f_c_c___m_e_a_n___1_0,m_f_c_c___m_e_a_n___1_1,m_f_c_c___m_e_a_n___1_2,m_f_c_c___m_e_a_n___1_3,m_f_c_c___m_e_a_n___1_4,m_f_c_c___m_e_a_n___1_5,m_f_c_c___m_e_a_n___1_6,m_f_c_c___m_e_a_n___1_7,m_f_c_c___m_e_a_n___1_8,m_f_c_c___m_e_a_n___1_9,m_f_c_c___m_e_a_n___2_0,o_n_s_e_t___s_t_r_e_n_g_t_h___m_e_a_n___0_1,p_e_r_c_u_s_s_i_v_e___r_m_s_e___m_e_a_n___0_1,p_i_t_c_h___m_e_a_n___0_1,r_m_s_e___m_e_a_n___0_1,s_p_e_c_t_r_a_l___b_a_n_d_w_i_d_t_h___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_e_n_t_r_o_i_d___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_2,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_3,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_4,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_5,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_6,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_7,s_p_e_c_t_r_a_l___f_l_a_t_n_e_s_s___m_e_a_n___0_1,s_p_e_c_t_r_a_l___r_o_l_l_o_f_f___m_e_a_n___0_1,t_e_m_p_o___m_e_a_n___0_1,t_o_n_n_e_t_z___m_e_a_n___0_1,t_o_n_n_e_t_z___m_e_a_n___0_2,t_o_n_n_e_t_z___m_e_a_n___0_3,t_o_n_n_e_t_z___m_e_a_n___0_4,t_o_n_n_e_t_z___m_e_a_n___0_5,t_o_n_n_e_t_z___m_e_a_n___0_6,z_c_r___m_e_a_n___0_1,t_e_m_p_o_g_r_a_m___m_e_a_n___0_1
10,2020,11,Say So,Doja Cat,https://www.youtube.com/watch?v=pok8H_KF1FA,0.280673801898956,0.24439862370491,0.253069400787354,0.294394433498383,0.354383707046509,0.325325757265091,0.441014796495438,0.232998743653297,0.208610728383064,0.189366057515144,0.154651999473572,0.182957157492638,0.20774045586586,-119.519004821777,127.47200012207,-14.9544849395752,45.1502990722656,-20.6685523986816,28.2223949432373,-27.4192810058594,8.24972343444824,-13.1507539749146,-2.04740381240845,1.37745010852814,-12.0426712036133,-0.625023365020752,-6.45867156982422,-2.42973136901855,-5.54764270782471,2.76756858825684,-6.94225549697876,4.24434041976929,-2.80396032333374,1.22548937797546,0.096467524766922,1304.11779785156,0.166943688260471,1658.39214964186,1586.96656789989,21.8519491633281,16.5566879338008,17.8689684019162,17.6305074375708,18.7247291016137,22.6612892647386,50.6665791433279,0.0016283517470583,3584.22793204833,110.294117647059,0.0092578098861506,-0.0388058597369707,-0.0160487581694058,-0.000496242098708,0.0019501713957931,0.0362879779314643,0.0682763700611729,0.172348069789533
11,2020,12,I Hope,"Gabby Barrett,Charlie Puth,",https://www.youtube.com/watch?v=qcCH6JpcK5w,0.24842132627964,0.398871928453445,0.359852701425552,0.393151611089706,0.269807994365692,0.244223579764366,0.18175196647644,0.187585785984993,0.23432183265686,0.228534936904907,0.146925300359726,0.171771734952927,0.223875045776367,-94.9712677001953,135.359680175781,-18.1559810638428,48.6874542236328,-22.7631340026855,30.0661067962646,-11.6171312332153,14.5198230743408,-2.06936597824097,5.34011745452881,2.23771381378174,0.29860508441925,-1.35426878929138,-2.01523303985596,3.16551232337952,-7.77434921264648,2.1806001663208,-4.90587949752808,2.88852548599243,-3.7210054397583,0.97720605134964,0.0897509977221489,1220.0029296875,0.176621397009087,1596.84005126671,1453.60601388015,18.2013158808258,14.3208149880605,17.3021283498929,16.9965714456335,18.256975949301,19.941251004666,49.0426416841367,0.0122762965038418,3196.44848230814,148.026315789474,-0.029144965956343,-0.0167411998968784,-0.0409148382963289,0.0223052942774219,-0.0014670346670364,0.0081870112409351,0.0672030736192453,0.246923464123864
12,2020,13,Whats Poppin,"Jack Harlow,DaBaby,Tory Lanez,Lil Wayne,",https://www.youtube.com/watch?v=w9uWPBDHEKE,0.285958647727966,0.3704594373703,0.321490675210953,0.40295284986496,0.249809265136719,0.18985253572464,0.247456625103951,0.216103628277779,0.189597636461258,0.262201279401779,0.210016250610352,0.235616743564606,0.10086465626955,-200.20735168457,104.545219421387,-8.95844268798828,32.3756484985352,-15.9332141876221,26.0927333831787,-12.9970016479492,5.83468246459961,-2.42465543746948,1.76109290122986,0.434987276792526,1.85241651535034,2.39806485176086,-2.47817873954773,9.01761817932129,-5.07944059371948,-0.301687896251678,0.212905272841453,5.16403436660767,-5.31172370910645,1.47794270515442,0.0692941471934318,1516.83850097656,0.0897337501863701,1529.24416642223,1616.69499332044,19.6106745421364,15.1604166838237,15.9138152849385,17.1900427264205,20.4431365534741,20.6983760744909,50.3117401537754,0.0395691841840744,3147.25495461495,144.230769230769,-0.0136671513669571,-0.0275922387139024,0.0099397105870827,-0.0170933738520836,0.0151985794746812,0.0331336058372298,0.0826159754107075,0.149743682950322
13,2020,14,Dance Monkey,Tones and I,https://www.youtube.com/watch?v=q0hyYWKXF0Q,0.345957934856415,0.294575870037079,0.361026436090469,0.377054184675217,0.217409163713455,0.14817401766777,0.189972087740898,0.146116837859154,0.169525399804115,0.240052849054336,0.148383483290672,0.33240419626236,0.072291687130928,-251.160537719727,141.437423706055,-9.84023189544678,27.1122817993164,-12.9939823150635,21.1190204620361,-14.8430986404419,17.1394119262695,-3.9769811630249,-0.0402771681547164,6.31001234054565,-1.73000729084015,2.90748381614685,-3.80816078186035,0.764586925506592,-2.66012239456177,0.474728643894196,-3.73928093910217,3.88752317428589,0.633205115795135,1.04705035686493,0.0259026959538459,1195.58972167969,0.0548282839555865,1551.31894478682,1231.84826186223,18.4716654122112,15.9094742094524,18.5957719344864,18.0186137308884,19.5528873094858,18.0303182730018,50.2565751726459,0.000776327913627,2680.91487832888,98.6842105263158,0.0363794977968755,-0.0259471152497643,0.0584341676583654,0.0112694953335692,-0.0313551219904227,0.0430452210918733,0.0493357048592311,0.19960569922514
14,2020,15,Savage,"Megan Thee Stallion,Beyoncé,",https://www.youtube.com/watch?v=EOxj2ROIxok,0.194327488541603,0.30091854929924,0.28792467713356,0.199134588241577,0.129302725195885,0.054181657731533,0.159052893519401,0.13802869617939,0.475110560655594,0.475663363933563,0.10192297399044,0.270565152168274,0.18141233921051,-153.466384887695,121.359771728516,-4.07009315490723,51.6870765686035,-9.55683326721191,30.5621318817139,-6.96540069580078,11.2532033920288,2.755215883255,-1.27136206626892,0.497195363044739,-0.769280970096588,6.53729963302612,0.752469658851624,7.39883232116699,-0.262599319219589,9.54393100738525,3.27409720420837,-0.0677957013249397,-2.64745473861694,1.42037630081177,0.101896710693836,1421.80065917969,0.152878313336402,1541.24310424806,1407.56148509303,19.6926849997925,15.894744713915,16.1272664708582,16.8063405796549,19.7011460077213,23.7817314979651,49.1152745188445,0.0001644435251364,3052.83040018498,170.454545454545,0.0616555405960693,-0.152703624699878,-0.0855991374605948,0.096730919271574,-0.0700882094875863,0.0302209710536116,0.0558891293770148,0.146966783870002
15,2020,16,Roxanne,Arizona Zervas,https://www.youtube.com/watch?v=16YnOUnbE6s,0.286375880241394,0.428196996450424,0.429728001356125,0.419751435518265,0.232536837458611,0.190458029508591,0.111584156751633,0.211928114295006,0.192416310310364,0.214086249470711,0.220873028039932,0.213564947247505,0.203574776649475,-175.568344116211,129.057983398438,-15.2261667251587,38.5966567993164,-7.69615411758423,18.1620140075684,-8.08434963226318,1.77501797676086,-7.78036785125732,-6.36939382553101,-3.21109437942505,2.81947422027588,4.37358570098877,-2.39539170265198,3.43151044845581,-3.27071905136108,4.29751110076904,1.72141969203949,2.6107063293457,-4.6241307258606,1.31179010868073,0.0738969072699546,1452.4072265625,0.149316511361194,1283.82705502003,1148.67387982448,21.2793350068776,17.1058880689749,17.8255634895038,18.1724915306029,20.2700905348718,23.0807897324188,46.3640233345516,0.0262747388333082,2327.58509306893,117.1875,-0.0273343596765536,0.0256352070216318,0.004492284532569,-0.0156378887260187,0.0094645259637991,-0.0046607272608265,0.0483563143422617,0.159448924473504
16,2020,17,Intentions,"Justin Bieber,Quavo,",https://www.youtube.com/watch?v=9p2wMpVVtXg,0.409339755773544,0.4391970038414,0.436211675405502,0.405407607555389,0.226190403103828,0.0689190104603767,0.0843988209962844,0.0789446160197258,0.132524654269218,0.197314873337746,0.207406431436539,0.222834497690201,0.113867983222008,-218.860885620117,126.879173278809,-2.71974396705627,44.1576194763184,-5.01934051513672,20.6183986663818,-6.86349105834961,-0.665670573711395,-3.49238562583923,-0.0337398536503315,-2.14379072189331,-2.80513381958008,-0.293143570423126,-4.67702960968018,4.87991285324097,-4.96196460723877,1.31786644458771,-0.391168266534805,-1.13935220241547,-2.79161691665649,1.40220284461975,0.0404182858765125,1231.82568359375,0.0844989685795839,1409.40424202429,1249.6989557255,20.0332950594689,17.3740378254331,16.931771202885,16.9762808219323,18.3459885329665,21.564079956622,49.5393538014255,0.0145386848598718,2584.38954958405,148.026315789474,-0.0112521754084198,0.008434626434771,0.0018564115127226,0.0144237503964703,0.0145635159495707,0.0340851117464093,0.050966358946409,0.145352853300645
17,2020,18,Everything I Wanted,Billie Eilish,https://www.youtube.com/watch?v=EgBJmlPo8Xw,0.441415011882782,0.292673230171204,0.268067002296448,0.292283833026886,0.154228493571281,0.115523800253868,0.0451482012867927,0.0317555330693721,0.0892415419220924,0.317821979522705,0.284710913896561,0.320573061704636,0.170867756009102,-293.303161621094,139.639266967773,41.3106231689453,34.6977920532227,11.1252346038818,11.156569480896,4.19335746765137,10.2394323348999,3.13446831703186,1.64569997787476,8.6310863494873,-1.40872883796692,-0.179070100188255,-0.285799443721771,-2.79344701766968,0.73566734790802,3.43832421302795,0.732255458831787,-0.799596726894379,-0.424111187458038,0.783613801002502,0.0478881411254406,575.030700683594,0.124064471207026,690.761134727639,390.602136581419,18.5477926407233,15.7727018012811,19.0165238159325,16.6054901977139,19.4699262439528,25.5166977201694,37.1696836206983,0.0934355109930038,681.80528815223,59.8404255319149,0.0254390831747902,0.0609772850415751,-0.0268018221227344,0.0353693294106371,-0.0062425207117714,0.0659917268572178,0.0135854775831849,0.150352949662018
18,2020,19,Roses (Imanbek remix),Saint Jhn,https://www.youtube.com/watch?v=2zToEPpFEN8,0.43561452627182,0.314558476209641,0.407175540924072,0.235503196716309,0.230958759784698,0.342527240514755,0.172063648700714,0.221634194254875,0.163599982857704,0.233485668897629,0.212421953678131,0.168427109718323,0.18963748216629,-145.075424194336,137.564575195312,-16.7897777557373,29.8080272674561,-19.5166187286377,29.0162334442139,-10.922306060791,6.97235441207886,-13.2680282592773,6.67022323608398,5.81377935409546,-6.02529430389404,-0.483284920454025,-3.52934813499451,-0.235499680042267,-6.98794460296631,7.20595979690552,-0.708780348300934,4.71265697479248,3.47696399688721,1.29461991786957,0.0857992991805076,1146.48999023438,0.152325323707207,1535.45728708676,1290.70982271679,20.3875989646328,15.121140361441,17.7984247078342,19.314666560857,19.7347051691553,22.1460305245462,50.4805790657864,0.013072065077722,2779.70613340287,122.282608695652,0.0293390138627152,0.143838053060891,-0.0855331474862032,0.0118892970475605,-0.0140733899834944,0.0073016837588615,0.0535287032299538,0.138111527866132
19,2020,20,Watermelon Sugar,Harry Styles,https://www.youtube.com/watch?v=E07s5ZYygMg,0.297021985054016,0.405921816825867,0.309836238622665,0.316012382507324,0.240916728973389,0.268309116363525,0.209384262561798,0.18552553653717,0.325058370828628,0.19873072206974,0.174391284584999,0.225917488336563,0.173578992486,-114.471473693848,135.403442382812,-27.5291290283203,42.7962799072266,-25.7024669647217,22.4544048309326,-12.8847627639771,8.78078079223633,-6.7417426109314,-0.963027894496918,0.73719733953476,-3.2706880569458,5.20895195007324,-7.51652240753174,4.87881469726562,-8.23757457733154,2.43491053581238,-2.99313402175903,-1.76680362224579,-5.44655990600586,1.00150108337402,0.0722632408142089,1314.01232910156,0.138112979839439,1545.41387393912,1363.49263310842,18.4734577020413,15.8663882704944,17.6260719692615,17.1918665284769,18.4108288041148,21.4322574213144,49.6096992690894,0.0389244370162487,3057.86688862322,95.3389830508475,-0.0646581959404966,-0.0344150209608729,-0.0461914659830745,0.0542492904843963,-0.0167204967534847,-0.006541882771804,0.0593173594782664,0.240289392015229
